5 31
0;0,1,2,3,4,20,21,22,23,24,40,41,42,43,44
1;80,81,82,83,84,100,101,102,103,120,121,122,123,140,141,142,143
2;6,7,8,9,26,27,28,29,46,47,48,49,66
3;87,88,89,105,106,107,108,109,125,126,127,128,129,145,146,147,148,149,169
4;131,132,133,151,152,153,171,172,173,174,191,192,193,194
5;135,136,137,138,139,155,156,157,158,159,176,177,178,179,196,197,198,199
6;16,17,18,19,36,37,38,39,56,57,58,59,76,77,78,79,96,97,98,99
7;11,12,13,14,31,32,33,34,51,52,53,54,71,72,73,74,91,92,93,94
8;306,307,326,327,346,347,366,367,368,386,387,388
9;320,321,322,323,324,340,341,342,343,344,360,361,362,363,364,380,381,382,383,384
10;185,186,187,205,206,207,225,226,227,245,246,247,265,266,267,285
11;180,181,182,183,200,201,202,203,220,221,222,223,240,241,242,243,260,261,262,263,280,281,282,283
12;209,210,229,230,231,249,250,251,269,270,271,289,290,291
13;312,329,330,331,332,349,350,351,352,353,370,371,372,373,390,391,392,393
14;317,318,319,334,335,336,337,338,339,355,356,357,358,359,375,376,377,378,379,395,396,397,398,399
15;233,234,235,236,237,238,239,253,254,255,256,257,258,259,273,274,275,276,277,278,279,294,295,296
16;60,61,62,63,64
17;67,68,69,86
18;134,154,175,195
19;15,35,55,75,95
20;325,345,365,385
21;184,204,224,244,264,284
22;292,309,310,311
23;297,298,299,314,315,316
24;65,5,25,45,85,104,124,144
25;114,111,112,113,115,116,117,118,119
26;305,286,287,304,300,301,302,303
27;293,232,252,272,313,333,354,374,394
28;110,130,150,170,10,30,50,70,90
29;288,308,328,348,369,389,188,208,228,248,268
30;190,164,160,161,162,163,165,166,167,168,189,212,211,213,214,215,216,217,218,219
